epoch,accuracy,loss,val_accuracy,val_loss
0,0.7529898285865784,0.8684921860694885,0.5163895487785339,2.8504843711853027
1,0.8313734531402588,0.593670129776001,0.8327040672302246,0.5618785619735718
2,0.8550887107849121,0.5107817649841309,0.5071133971214294,1.6656945943832397
3,0.8687237501144409,0.45930594205856323,0.8211026191711426,0.6064916849136353
4,0.8780972957611084,0.42422398924827576,0.8215277194976807,0.6008090972900391
5,0.8853978514671326,0.3975595235824585,0.7122390270233154,0.9714891910552979
6,0.9123397469520569,0.303938627243042,0.8965370655059814,0.368012011051178
7,0.9214006066322327,0.26919618248939514,0.8991124033927917,0.36297714710235596
8,0.9270815849304199,0.24886269867420197,0.8982372879981995,0.37666523456573486
9,0.9312806129455566,0.23263336718082428,0.9027628302574158,0.3671078383922577
10,0.9353389143943787,0.21805725991725922,0.8992124199867249,0.3918221592903137
11,0.9390845894813538,0.2045193910598755,0.9004375338554382,0.39267832040786743
