epoch,accuracy,loss,val_accuracy,val_loss
0,0.7182846069335938,0.9333145618438721,0.23087885975837708,4.308969497680664
1,0.8202428221702576,0.6044835448265076,0.6124765872955322,1.68257474899292
2,0.8488761186599731,0.5071290135383606,0.6751344203948975,1.2296652793884277
3,0.8655408620834351,0.4494074285030365,0.6915614604949951,1.0519181489944458
4,0.8773906826972961,0.40917566418647766,0.7324915528297424,0.9350835680961609
5,0.8861232399940491,0.3768128752708435,0.8272284269332886,0.6049203872680664
6,0.8942586183547974,0.34790006279945374,0.8377296924591064,0.5493592619895935
7,0.9014372825622559,0.3243686258792877,0.7511689066886902,0.8467214703559875
8,0.9071308374404907,0.3017508387565613,0.8202275037765503,0.6410583853721619
9,0.9125241637229919,0.28186917304992676,0.8104763031005859,0.6773985624313354
10,0.917129635810852,0.2641866207122803,0.805350661277771,0.7262301445007324
11,0.9423049688339233,0.1859513521194458,0.8938117027282715,0.3945345878601074
12,0.9538390040397644,0.14710520207881927,0.8951618671417236,0.4097517132759094
13,0.9609801173210144,0.12536375224590302,0.8907363414764404,0.4401165843009949
14,0.9667299389839172,0.10774380713701248,0.8934866786003113,0.4486836791038513
15,0.971429169178009,0.0930444747209549,0.8691336512565613,0.5462673306465149
16,0.9749153256416321,0.08148238062858582,0.887935996055603,0.504001259803772
