epoch,accuracy,loss,val_accuracy,val_loss
0,0.7063754200935364,0.9704390168190002,0.1684710532426834,5.252685546875
1,0.8289941549301147,0.5754010677337646,0.3626953363418579,2.416006088256836
2,0.8613731265068054,0.46490952372550964,0.5549193620681763,1.5454185009002686
3,0.881749153137207,0.3925921618938446,0.6869358420372009,1.0360766649246216
4,0.8992924690246582,0.33224815130233765,0.7824478149414062,0.7318974733352661
5,0.9143939018249512,0.27904292941093445,0.5305663347244263,1.837636947631836
6,0.9283291101455688,0.22973044216632843,0.8002000451087952,0.7300678491592407
7,0.939647376537323,0.18889303505420685,0.8368796110153198,0.6181017160415649
8,0.9494524002075195,0.15661443769931793,0.6981872916221619,1.2704575061798096
9,0.9566653966903687,0.13217534124851227,0.8278535008430481,0.7575197219848633
10,0.9620900750160217,0.11353515088558197,0.7519940137863159,1.1076288223266602
11,0.9672427177429199,0.09838893264532089,0.8221527934074402,0.8974879384040833
12,0.9808527231216431,0.058302782475948334,0.8953619003295898,0.5810326337814331
13,0.9915707111358643,0.02707967534661293,0.8916614651679993,0.6774535775184631
14,0.9947535991668701,0.0176798477768898,0.8944118022918701,0.7161967754364014
15,0.9964262843132019,0.012557427398860455,0.8976371884346008,0.7241827845573425
16,0.9973767995834351,0.009918658062815666,0.8963120579719543,0.763187825679779
17,0.9978645443916321,0.008151487447321415,0.896462082862854,0.7730706334114075
