epoch,accuracy,loss,val_accuracy,val_loss
0,0.7189255952835083,0.9618884921073914,0.7927991151809692,0.6917658448219299
1,0.8300509452819824,0.5928991436958313,0.7988748550415039,0.6700294017791748
2,0.8617702126502991,0.48162004351615906,0.8598074913024902,0.47135090827941895
3,0.8821337223052979,0.40818026661872864,0.8611826300621033,0.4814566671848297
4,0.8976572155952454,0.3496648073196411,0.8552069067955017,0.5107349753379822
5,0.9112735390663147,0.30082499980926514,0.8462557792663574,0.5445663332939148
6,0.9217445254325867,0.25941571593284607,0.8530816435813904,0.5694882869720459
7,0.9498994946479797,0.16446684300899506,0.8997124433517456,0.45316216349601746
8,0.963056206703186,0.11955960839986801,0.8995374441146851,0.5088017582893372
9,0.9713010191917419,0.09208027273416519,0.9001875519752502,0.5636730194091797
10,0.9772289991378784,0.0730755478143692,0.8994124531745911,0.585493803024292
11,0.9819970726966858,0.057416606694459915,0.8982122540473938,0.6511012315750122
12,0.9854738712310791,0.04627779498696327,0.8972871899604797,0.6827274560928345
