epoch,accuracy,loss,val_accuracy,val_loss
0,0.7201668620109558,0.9270127415657043,0.8245530724525452,0.5872098207473755
1,0.8357850909233093,0.5524672865867615,0.8542317748069763,0.484331339597702
2,0.8654252290725708,0.45058751106262207,0.8574821949005127,0.4750196933746338
3,0.8827590346336365,0.3895821273326874,0.8722590208053589,0.4329506456851959
4,0.8979324102401733,0.3384832441806793,0.8785098195075989,0.41963908076286316
5,0.9097415208816528,0.2972815930843353,0.8741092681884766,0.4424324929714203
6,0.9206845760345459,0.25852999091148376,0.8808600902557373,0.43881985545158386
7,0.9296954274177551,0.22527390718460083,0.876909613609314,0.45717984437942505
8,0.9383404850959778,0.19553206861019135,0.8778597116470337,0.4790383577346802
9,0.9588821530342102,0.1291867345571518,0.9029128551483154,0.42694002389907837
